he is still on our team
Basic
0.8 0.8
575.9999 518.4
Moved 338.4957 581 333.7377 0.3836805 -0.1046727
Stationary 338.5117 581 333.7377 0.3836805 -0.1046727
Moved 338.5254 581 333 0.3836805 -0.1060957
Ended 338.5426 581 333 0.3836805 -0.1060957
Began 339.0325 470 596 0.1909722 0.4012344
Stationary 339.0541 470 596 0.1909722 0.4012344
Stationary 339.0667 470 596 0.1909722 0.4012344
Stationary 339.0808 470 596 0.1909722 0.4012344
Stationary 339.0962 470 596 0.1909722 0.4012344
Stationary 339.1133 470 596 0.1909722 0.4012344
Stationary 339.1301 470 596 0.1909722 0.4012344
Stationary 339.1433 470 596 0.1909722 0.4012344
Stationary 339.1633 470 596 0.1909722 0.4012344
Stationary 339.1748 470 596 0.1909722 0.4012344
Stationary 339.1889 470 596 0.1909722 0.4012344
Stationary 339.2058 470 596 0.1909722 0.4012344
Stationary 339.2202 470 596 0.1909722 0.4012344
Stationary 339.2353 470 596 0.1909722 0.4012344
Stationary 339.2535 470 596 0.1909722 0.4012344
Stationary 339.2768 470 596 0.1909722 0.4012344
Stationary 339.2982 470 596 0.1909722 0.4012344
Stationary 339.3123 470 596 0.1909722 0.4012344
Stationary 339.3289 470 596 0.1909722 0.4012344
Stationary 339.3434 470 596 0.1909722 0.4012344
Stationary 339.3588 470 596 0.1909722 0.4012344
Stationary 339.3745 470 596 0.1909722 0.4012344
Stationary 339.3892 470 596 0.1909722 0.4012344
Stationary 339.4085 470 596 0.1909722 0.4012344
Stationary 339.42 470 596 0.1909722 0.4012344
Stationary 339.4361 470 596 0.1909722 0.4012344
Stationary 339.4548 470 596 0.1909722 0.4012344
Moved 339.4672 470 586.0816 0.1909722 0.3821018
Stationary 339.4825 470 585.6266 0.1909722 0.3812241
Moved 339.4985 470 584.8682 0.1909722 0.379761
Moved 339.5141 470 582.5901 0.1909722 0.3753666
Moved 339.53 470 580.858 0.1909722 0.3720255
Moved 339.5462 474.0423 576.2676 0.1979901 0.3631704
Moved 339.5599 480.0349 573.4825 0.2083939 0.357798
Moved 339.576 486.5977 570.7609 0.2197877 0.352548
Moved 339.5913 493.9146 565.7631 0.2324906 0.3429071
Moved 339.6083 501.9415 562.0234 0.2464262 0.3356932
Moved 339.626 507.7076 557.7193 0.2564368 0.3273905
Moved 339.6375 515.3055 552.5556 0.2696277 0.3174298
Moved 339.652 519.8849 550.705 0.277578 0.3138599
Moved 339.6674 526.5 546.5 0.2890625 0.3057484
Moved 339.6824 530.4175 544.1942 0.2958638 0.3013003
Moved 339.6982 535.9639 540.277 0.3054929 0.2937442
Moved 339.7141 540.0386 538.6409 0.3125671 0.2905881
Moved 339.7296 543.2383 536.8808 0.3181221 0.2871928
Moved 339.7469 546.1223 535.4388 0.323129 0.2844113
Moved 339.7607 548.9879 534.0061 0.3281039 0.2816476
Moved 339.7763 551.89 532.555 0.3331423 0.2788484
Moved 339.7924 554.092 531.454 0.3369653 0.2767244
Moved 339.8072 556.9705 530.0148 0.3419625 0.2739482
Moved 339.822 559.848 530 0.3469583 0.2739197
Moved 339.8438 561.72 528.14 0.3502083 0.2703318
Moved 339.8546 564.6047 528 0.3552164 0.2700616
Moved 339.8679 567.4806 527 0.3602093 0.2681327
Moved 339.8837 569.1691 527 0.3631407 0.2681327
Moved 339.9009 571.3883 527 0.3669936 0.2681327
Moved 339.9139 574.4026 527 0.3722267 0.2681327
Moved 339.9297 576.1263 525.8737 0.3752193 0.2659599
Moved 339.9456 577.573 526 0.3777308 0.2662036
