the union will go on strike
the union will go on strike
FixStart
Radial

0.6 0.6
432 388.8
Moved 2338.065 489.8373 377.5693 0.3005494 -0.02682792
Moved 2338.096 492.7828 365.5206 0.3073676 -0.05781754
Moved 2338.126 493 347.3418 0.3078704 -0.1045736
Moved 2338.157 493 329.169 0.3078704 -0.1513144
Moved 2338.188 493 308.7542 0.3078704 -0.2038215
Moved 2338.219 493 291.111 0.3078704 -0.2492001
Moved 2338.25 493 275.0677 0.3078704 -0.2904637
Moved 2338.28 493 266.9547 0.3078704 -0.3113305
Moved 2338.311 486 262.7647 0.2916667 -0.3221073
Moved 2338.342 483.5 259 0.2858797 -0.3317901
Moved 2338.372 480.7289 258.3644 0.279465 -0.3334249
Moved 2338.403 469.5189 258 0.253516 -0.3343622
Moved 2338.434 443.6725 271.4789 0.1936863 -0.2996943
Moved 2338.464 420.1265 290.1238 0.1391817 -0.2517392
Moved 2338.495 396.7236 307.7689 0.08500834 -0.2063559
Moved 2338.526 377.1113 323.2776 0.03960937 -0.166467
Moved 2338.557 362.3837 335.493 0.0055179 -0.135049
Moved 2338.587 343.74 350.1733 -0.03763884 -0.09729087
Moved 2338.618 331.3387 359.746 -0.06634559 -0.07266983
Moved 2338.649 319.8998 366.5501 -0.09282459 -0.05516955
Moved 2338.679 309.8312 370.5844 -0.1161316 -0.04479326
Moved 2338.71 300.5095 375.1635 -0.1377096 -0.03301574
Moved 2338.741 292.9176 378.0412 -0.1552833 -0.02561428
Moved 2338.772 286.9278 380.6907 -0.1691485 -0.01879963
Moved 2338.802 280.0554 383.4723 -0.185057 -0.01164542
Moved 2338.833 274.3195 385.3403 -0.1983345 -0.006840945
Moved 2338.864 269.5693 387.2153 -0.2093303 -0.002018179
Moved 2338.895 266.2459 388 -0.2170233 -3.924585E-08
Moved 2338.925 263.5 389.5 -0.2233796 0.003857946
Ended 2338.956 262.9744 389 -0.2245964 0.002572016
Candidates 2339.079 13 strike sterile settle stroke daughter the style sure struggle suite steele site stir
Began 2339.417 207 361 -0.3541667 -0.06944452
Stationary 2339.448 207 361 -0.3541667 -0.06944452
Stationary 2339.479 207 361 -0.3541667 -0.06944452
Moved 2339.509 216.6477 361 -0.3318341 -0.06944452
Moved 2339.54 231.4107 361 -0.2976604 -0.06944452
Moved 2339.571 253.158 361 -0.2473194 -0.06944452
Moved 2339.601 274.2386 361 -0.1985217 -0.06944452
Moved 2339.632 294.3446 361 -0.1519802 -0.06944452
Moved 2339.663 308.1249 361 -0.1200812 -0.06944452
Moved 2339.694 316.6499 361 -0.1003475 -0.06944452
Moved 2339.724 321.7546 361 -0.08853097 -0.06944452
Moved 2339.755 324.5 361 -0.08217593 -0.06944452
Moved 2339.786 327.1348 361 -0.07607694 -0.06944452
Ended 2339.816 327.1348 361 -0.07607694 -0.06944452
Accept 2339.878 0 strike
Began 2340.062 201 321 -0.3680556 -0.1723252
Stationary 2340.093 201 321 -0.3680556 -0.1723252
Moved 2340.124 218.8445 321 -0.3267489 -0.1723252
Moved 2340.155 248.0005 321 -0.2592581 -0.1723252
Moved 2340.185 280.0802 321 -0.1849996 -0.1723252
Moved 2340.216 317.1652 313 -0.09915472 -0.1929013
Moved 2340.247 351.6036 312 -0.01943608 -0.1954732
Moved 2340.277 381.8393 312 0.05055388 -0.1954732
Moved 2340.308 409.3936 312 0.114337 -0.1954732
Moved 2340.339 433.808 312 0.1708519 -0.1954732
Moved 2340.37 453.7957 312 0.2171195 -0.1954732
Moved 2340.4 467 322.5 0.2476852 -0.1684671
Moved 2340.431 477.2396 321 0.271388 -0.1723252
Moved 2340.462 487.7617 323.3809 0.2957448 -0.1662016
Moved 2340.492 490.609 323 0.3023356 -0.1671811
Ended 2340.523 491 323 0.3032407 -0.1671811
PhraseEnd 2340.584
