if you were not so stupid
if you were not so stupid
Basic
0.6 0.6
432 388.8
Moved 433.5598 435.14 564.7911 0.1739353 0.4547096
Moved 433.5762 425.467 562 0.151544 0.4475308
Moved 433.592 415.5 560.5 0.1284723 0.4436727
Moved 433.6061 407.5439 559.3634 0.1100553 0.4407494
Moved 433.6211 396.3803 557.9225 0.08421371 0.4370435
Moved 433.6381 387.4164 555.488 0.06346384 0.430782
Moved 433.6518 379.253 554.0506 0.04456709 0.4270847
Moved 433.6686 372.0001 552.6 0.02777795 0.4233539
Moved 433.6907 354.0911 549.7273 -0.01367807 0.4159651
Stationary 433.7014 354.0911 549.7273 -0.01367807 0.4159651
Moved 433.7133 350.9984 548.7496 -0.02083709 0.4134504
Moved 433.7303 340.0752 546.215 -0.04612232 0.4069316
Moved 433.7456 334.0975 544.7744 -0.05995954 0.4032261
Moved 433.7598 327.3238 542.3309 -0.07563929 0.3969416
Moved 433.7756 321.5775 540.8944 -0.08894085 0.3932468
Moved 433.7914 316 539.5 -0.1018519 0.3896604
Moved 433.8066 313.0411 538.0137 -0.1087011 0.3858377
Moved 433.8222 310.8534 536.9267 -0.1137653 0.3830418
Moved 433.838 309.5 537 -0.1168982 0.3832304
Moved 433.8528 307.0222 536 -0.1226338 0.3806583
Moved 433.869 305.5795 534.5795 -0.1259735 0.3770047
Moved 433.8838 304.5 535 -0.1284722 0.3780863
Moved 433.8992 303.8502 533.8502 -0.1299764 0.3751291
