electric cars need big fuel cells
electric cars need big fuel cells
Basic
List

0.6 0.6
432 388.8
Moved 1388.329 285.2778 448.0277 -0.1729681 0.1543922
Moved 1388.36 290.6464 430.1216 -0.1605407 0.1083373
Moved 1388.391 294.5 417.5 -0.1516204 0.0758744
Moved 1388.422 296.3864 408.2272 -0.1472537 0.05202474
Moved 1388.452 296 401.4886 -0.1481481 0.03469279
Moved 1388.483 297 398.1873 -0.1458333 0.02620175
Moved 1388.514 297 395.3135 -0.1458333 0.0188105
Moved 1388.545 297 392.5 -0.1458333 0.01157403
Moved 1388.575 297 390.9531 -0.1458333 0.007595486
Moved 1388.606 297 389.5 -0.1458333 0.003857946
Moved 1388.637 297 387.6266 -0.1458333 -0.000960503
Moved 1388.667 297 386.7736 -0.1458333 -0.003154425
Moved 1388.698 297 385.6744 -0.1458333 -0.005981618
Moved 1388.729 297 384.7508 -0.1458333 -0.008357091
Moved 1388.76 297 383.752 -0.1458333 -0.01092597
Moved 1388.79 297 382.7508 -0.1458333 -0.01350112
Moved 1388.821 297 381.8856 -0.1458333 -0.01572652
Moved 1388.852 297 380.5 -0.1458333 -0.0192902
Moved 1388.883 297 378.8702 -0.1458333 -0.02348197
Moved 1388.913 289.3698 378 -0.1634959 -0.02572024
Moved 1388.944 286.5005 377 -0.1701376 -0.02829226
Moved 1388.975 284.6248 376 -0.1744795 -0.03086435
Moved 1389.005 283.6281 376 -0.1767867 -0.03086435
Moved 1389.036 282.8491 374.8491 -0.1785901 -0.03382428
Ended 1389.067 283 375 -0.1782407 -0.03343629
Candidates 1389.159 13 needs bed need news beef breed beds bees bra meets mess chef brass
Began 1390.972 430 343 0.162037 -0.1157408
Stationary 1391.003 430 343 0.162037 -0.1157408
Moved 1391.034 436.626 387.3589 0.177375 -0.001648993
Moved 1391.064 448 428 0.2037037 0.1028806
Moved 1391.095 461.6868 476.4097 0.235386 0.2273911
Moved 1391.126 468.6312 499.8937 0.2514611 0.2877924
Moved 1391.157 475.1481 518.4444 0.2665466 0.3355051
Moved 1391.188 480.2862 534.2155 0.2784402 0.3760685
