is there any indication of this
is there any indication of this
Basic
List

0.6 0.6
432 388.8
Moved 4612.127 453.9068 503.0311 0.2173769 0.2958618
Moved 4612.158 460.5 500.5 0.2326389 0.2893518
Moved 4612.189 467.2003 499.9332 0.2481489 0.287894
Moved 4612.22 473.8411 499 0.2635211 0.2854938
Moved 4612.25 483.6355 499 0.2861933 0.2854938
Moved 4612.281 492.3738 499 0.3064208 0.2854938
Moved 4612.312 502.0579 499 0.3288377 0.2854938
Moved 4612.343 508.4216 499 0.3435685 0.2854938
Moved 4612.374 515.4916 499 0.3599344 0.2854938
Moved 4612.404 519.3846 508.6927 0.3689459 0.3104236
Moved 4612.435 521.5 507 0.3738426 0.3060699
Moved 4612.466 521 508.1079 0.3726852 0.3089195
Stationary 4612.497 521 508 0.3726852 0.3086419
