electric cars need big fuel cells
Basic
0.6 0.6
432 388.8
Moved 1427.494 546 369.6266 0.4305556 -0.0472568
Stationary 1427.524 546 370 0.4305556 -0.04629637
Moved 1427.555 532.3439 369 0.3989441 -0.04886839
Moved 1427.586 482.6408 377.3063 0.2838908 -0.02750436
Moved 1427.617 420.7932 388.3176 0.140725 0.0008167455
Moved 1427.647 379.0009 396.7498 0.04398346 0.02250459
Moved 1427.678 349.7226 403.3193 -0.02379035 0.03940146
Moved 1427.709 324.2113 405.3099 -0.08284415 0.04452121
Moved 1427.74 298.3444 407 -0.1427212 0.04886827
Moved 1427.77 283.0198 408.796 -0.1781949 0.05348762
Moved 1427.801 269.6003 409 -0.2092584 0.05401234
Moved 1427.832 259.131 409 -0.2334931 0.05401234
